step-1	fly	flies	fly			to			へ	飛行機（ひこうき）で行（い）	く
	had to	had to	had to	be able to	fly	to			へ	飛行機（ひこうき）で行（い）	く	ことができなければいけなかった
	did	did	did	not have to be able to	fly	to			へ	飛行機（ひこうき）で行（い）	く	ことはできなくてもよかった
step-3	will	will	will		fly	to			へ	飛行機（ひこうき）で行（い）	く	だろう
	will	will	will	not	fly	to			へ	飛行機（ひこうき）で行（い）	か	ないだろう
	will	will	will	be	flying	to			へ	飛行機（ひこうき）で行（い）	っ	ているだろう
	will	will	will	not be	flying	to			へ	飛行機（ひこうき）で行（い）	っ	ていないだろう
	will	will	will	be able to	fly	to			へ	飛行機（ひこうき）で行（い）	く	ことができるだろう
	will	will	will	not be able to	fly	to			へ	飛行機（ひこうき）で行（い）	く	ことはできないだろう
	may	may	may		fly	to			へ	飛行機（ひこうき）で行（い）	く	かもしれない
	may	may	may	not	fly	to			へ	飛行機（ひこうき）で行（い）	か	ないかもしれない
	may	may	may	be	flying	to			へ	飛行機（ひこうき）で行（い）	っ	ているかもしれない
	may	may	may	not be	flying	to			へ	飛行機（ひこうき）で行（い）	っ	ていないかもしれない
	may	may	may	be able to	fly	to			へ	飛行機（ひこうき）で行（い）	く	ことができるかもしれない
	may	may	may	not be able to	fly	to			へ	飛行機（ひこうき）で行（い）	く	ことはできないかもしれない
	can	can	can		fly	to			へ	飛行機（ひこうき）で行（い）	く	ことができる
	can	can	can	not	fly	to			へ	飛行機（ひこうき）で行（い）	く	ことはできない
	should	should	should		fly	to			へ	飛行機（ひこうき）で行（い）	く	ほうがいい
	should	should	should	not	fly	to			へ	飛行機（ひこうき）で行（い）	か	ないほうがいい
	should	should	should	be	flying	to			へ	飛行機（ひこうき）で行（い）	っ	ているほうがいい
	should	should	should	not be	flying	to			へ	飛行機（ひこうき）で行（い）	っ	ていないほうがいい
	should	should	should	be able to	fly	to			へ	飛行機（ひこうき）で行（い）	く	ことができるほうがいい
	should	should	should	not be able to	fly	to			へ	飛行機（ひこうき）で行（い）	く	ことはできないほうがいい
	should	should	should		fly	to			へ	飛行機（ひこうき）で行（い）	く	はずだ
	should	should	should	not	fly	to			へ	飛行機（ひこうき）で行（い）	か	ないはずだ
	should	should	should	be	flying	to			へ	飛行機（ひこうき）で行（い）	っ	ているはずだ
	should	should	should	not be	flying	to			へ	飛行機（ひこうき）で行（い）	っ	ていないはずだ
	should	should	should	be able to	fly	to			へ	飛行機（ひこうき）で行（い）	く	ことができるはずだ
	should	should	should	not be able to	fly	to			へ	飛行機（ひこうき）で行（い）	く	ことはできるはずがない
	had better	had better	had better		fly	to			へ	飛行機（ひこうき）で行（い）	く	べきだ
	had better	had better	had better	not	fly	to			へ	飛行機（ひこうき）で行（い）	く	べきではない
	must	must	must		fly	to			へ	飛行機（ひこうき）で行（い）	く	にちがいない
	must	must	must	not	fly	to			へ	飛行機（ひこうき）で行（い）	っ	てはいけない
	must	must	must	be	flying	to			へ	飛行機（ひこうき）で行（い）	っ	ているにちがいない
	must	must	must	not be	flying	to			へ	飛行機（ひこうき）で行（い）	っ	ていてはいけない
	must	must	must	be able to	fly	to			へ	飛行機（ひこうき）で行（い）	く	ことができるにちがいない
	must	must	must	not be able to	fly	to			へ	飛行機（ひこうき）で行（い）	く	ことはできてはいけない
	will	will	will	have to	fly	to			へ	飛行機（ひこうき）で行（い）	か	なければいけないだろう
	will	will	will	not have to	fly	to			へ	飛行機（ひこうき）で行（い）	か	なくてもいいだろう
	will	will	will	have to be	flying	to			へ	飛行機（ひこうき）で行（い）	っ	ていなければいけないだろう
	will	will	will	not have to be	flying	to			へ	飛行機（ひこうき）で行（い）	っ	ていなくてもいいだろう
	will	will	will	have to be able to	fly	to			へ	飛行機（ひこうき）で行（い）	く	ことができなければいけないだろう
	will	will	will	not have to be able to	fly	to			へ	飛行機（ひこうき）で行（い）	く	ことはできなくてもいいだろう
	may	may	may	have to	fly	to			へ	飛行機（ひこうき）で行（い）	か	なければいけないかもしれない
	may	may	may	not have to	fly	to			へ	飛行機（ひこうき）で行（い）	か	なくてもいいかもしれない
	may	may	may	have to be	flying	to			へ	飛行機（ひこうき）で行（い）	っ	ていなければいけないかもしれない
	may	may	may	not have to be	flying	to			へ	飛行機（ひこうき）で行（い）	っ	ていなくてもいいかもしれない
	may	may	may	have to be able to	fly	to			へ	飛行機（ひこうき）で行（い）	く	ことができなければいけないかもしれない
	may	may	may	not have to be able to	fly	to			へ	飛行機（ひこうき）で行（い）	く	ことはできなくてもいいかもしれない
step-4	have	has	have		flown	to			へ	飛行機（ひこうき）で行（い）	っ	たことがある
	have	has	have	not	flown	to			へ	飛行機（ひこうき）で行（い）	っ	たことはない
	have	has	have	been	flying	to		（ずっと）	へ	飛行機（ひこうき）で行（い）	っ	ている
	have	has	have	not been	flying	to		（ずっと）	へ	飛行機（ひこうき）で行（い）	っ	ていない
	have	has	have		flown	to	already	すでに	へ	飛行機（ひこうき）で行（い）	っ	ている
	have	has	have	not	flown	to	yet	まだ	へ	飛行機（ひこうき）で行（い）	っ	ていない
	had	had	had		flown	to	before that	それ以前（いぜん）	へ	飛行機（ひこうき）で行（い）	っ	たことがあった
	had	had	had	not	flown	to	before that	それ以前（いぜん）	へ	飛行機（ひこうき）で行（い）	っ	たことはなかった
	had	had	had	been	flying	to	till then	それまでずっと	へ	飛行機（ひこうき）で行（い）	っ	ていた
	had	had	had	not been	flying	to	till then	それまでずっと	へ	飛行機（ひこうき）で行（い）	っ	ていなかった
	had	had	had		flown	to	already	すでに	へ	飛行機（ひこうき）で行（い）	っ	ていた
	had	had	had	not	flown	to	yet	まだ	へ	飛行機（ひこうき）で行（い）	っ	ていなかった
	have	has	have	been able to	fly	to		（ずっと）	へ	飛行機（ひこうき）で行（い）	く	ことができている
	have	has	have	not been able to	fly	to	yet	まだ	へ	飛行機（ひこうき）で行（い）	く	ことはできていない
	had	had	had	been able to	fly	to	till then	それまでずっと	へ	飛行機（ひこうき）で行（い）	く	ことができていた
	had	had	had	not been able to	fly	to	till then	それまでずっと	へ	飛行機（ひこうき）で行（い）	く	ことはできていなかった
step-5	may have	may have	may have		flown	to			へ	飛行機（ひこうき）で行（い）	っ	たかもしれない
	may not have	may not have	may not have		flown	to			へ	飛行機（ひこうき）で行（い）	か	なかったかもしれない
	may have	may have	may have	been able to	fly	to			へ	飛行機（ひこうき）で行（い）	く	ことができたかもしれない
	may not have	may not have	may not have	been able to	fly	to			へ	飛行機（ひこうき）で行（い）	く	ことはできなかったかもしれない
	must have	must have	must have		flown	to			へ	飛行機（ひこうき）で行（い）	っ	たにちがいない
	must not have	must not have	must not have		flown	to			へ	飛行機（ひこうき）で行（い）	か	なかったにちがいない
	must have	must have	must have	been able to	fly	to			へ	飛行機（ひこうき）で行（い）	く	ことができたにちがいない
	must not have	must not have	must not have	been able to	fly	to			へ	飛行機（ひこうき）で行（い）	く	ことはできなかったにちがいない
	should have	should have	should have		flown	to			へ	飛行機（ひこうき）で行（い）	く	ほうがよかった
	should not have	should not have	should not have		flown	to			へ	飛行機（ひこうき）で行（い）	か	ないほうがよかった
	should have	should have	should have	been able to	fly	to			へ	飛行機（ひこうき）で行（い）	く	ことができるほうがよかった
	should not have	should not have	should not have	been able to	fly	to			へ	飛行機（ひこうき）で行（い）	く	ことはできないほうがよかった
	can not have	can not have	can not have		flown	to			へ	飛行機（ひこうき）で行（い）	っ	たはずがない
step-6	would	would	would		fly	to			へ	飛行機（ひこうき）で行（い）	っ	ただろう
	would	would	would	not	fly	to			へ	飛行機（ひこうき）で行（い）	か	なかっただろう
	would	would	would	be able to	fly	to			へ	飛行機（ひこうき）で行（い）	く	ことができただろう
	would	would	would	not be able to	fly	to			へ	飛行機（ひこうき）で行（い）	く	ことはできなかっただろう
	would have	would have	would have		flown	to			へ	飛行機（ひこうき）で行（い）	っ	たことだろう
	would not have	would not have	would not have		flown	to			へ	飛行機（ひこうき）で行（い）	か	なかったことだろう
	would have	would have	would have	been able to	fly	to			へ	飛行機（ひこうき）で行（い）	く	ことができたことだろう
	would not have	would not have	would not have	been able to	fly	to			へ	飛行機（ひこうき）で行（い）	く	ことはできなかったことだろう
	could have	could have	could have		flown	to			へ	飛行機（ひこうき）で行（い）	っ	た可能性がある
	could not have	could not have	could not have		flown	to			へ	飛行機（ひこうき）で行（い）	っ	た可能性はない
	might have	might have	might have		flown	to			へ	飛行機（ひこうき）で行（い）	っ	たかもしれなかった
	might not have	might not have	might not have		flown	to			へ	飛行機（ひこうき）で行（い）	か	なかったかもしれなかった
	might have	might have	might have	been able to	fly	to			へ	飛行機（ひこうき）で行（い）	く	ことができたかもしれなかった
	might not have	might not have	might not have	been able to	fly	to			へ	飛行機（ひこうき）で行（い）	く	ことはできなかったかもしれなかった
